STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,1990,,80.4,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,1990,,74,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,1991,,72.2,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,1991,,78.8,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,1992,,79.3,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,1992,,72.7,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,1993,,72.8,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,1993,,79.4,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,1994,,79.7,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,1994,,73.1,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,M,Male,Y,Years,1995,,73.3,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,1995,,79.9,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_LIFE_EXP(2.0),Life expectancy - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,LFEXP,Life expectancy,Y0,0 years,F,Female,Y,Years,1996,,80.1,,DEU,Germany,A,Normal value,0,Units,1,One
